project,function,outcome,original_signature,llm_signature
pdfresurrect-master,pdf_display_creator,ACCEPTED,,
pdfresurrect-master,display_creator,ACCEPTED,,
pdfresurrect-master,pdf_get_version,ACCEPTED,,
pdfresurrect-master,is_valid_xref,ACCEPTED,,
pdfresurrect-master,load_creator,ACCEPTED,,
pdfresurrect-master,load_xref_from_plaintext,ACCEPTED,,
pdfresurrect-master,resolve_linearized_pdf,ACCEPTED,,
pdfresurrect-master,pdf_is_pdf,ACCEPTED,,
pdfresurrect-master,pdf_get_object_status,ACCEPTED,,
pdfresurrect-master,pdf_summarize,ACCEPTED,,
pdfresurrect-master,usage,ACCEPTED,,
pdfresurrect-master,write_version,ACCEPTED,,
pdfresurrect-master,main_0,ACCEPTED,,
pdfresurrect-master,pdf_zero_object,ACCEPTED,,
pdfresurrect-master,pdf_display_creator,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(
    mut pdf: *const pdf_t,
    mut xref_idx: core::ffi::c_int,
) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(pdf: &Safe_PDF, xref_idx: usize) -> i32"
pdfresurrect-master,pdf_display_creator,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(
    mut pdf: *const pdf_t,
    mut xref_idx: core::ffi::c_int,
) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(pdf: &SafePdf, xref_idx: core::ffi::c_int) -> core::ffi::c_int"
pdfresurrect-master,pdf_display_creator,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(
    mut pdf: *const pdf_t,
    mut xref_idx: core::ffi::c_int,
) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn pdf_display_creator(pdf: &mut SafePdf, xref_idx: i32) -> i32"
pdfresurrect-master,display_creator,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn display_creator(mut fp: *mut FILE, mut pdf: *const pdf_t)","pub fn display_creator(fp: &mut std::ffi::c_void, pdf: &SafePdf)"
pdfresurrect-master,display_creator,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn display_creator(mut fp: *mut FILE, mut pdf: *const pdf_t)","extern ""C"" fn display_creator(fp: *mut FILE, pdf: &SafePdf)"
pdfresurrect-master,get_next_eof,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn get_next_eof(mut fp: *mut FILE) -> core::ffi::c_int",fn get_next_eof(fp: &mut SafeIOFILE) -> core::ffi::c_int
pdfresurrect-master,get_xref_linear_skipped,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn get_xref_linear_skipped(mut fp: *mut FILE, mut xref: *mut xref_t)",pub unsafe fn from_ptr(ptr: *const xref_t) -> Self
pdfresurrect-master,get_xref_linear_skipped,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn get_xref_linear_skipped(mut fp: *mut FILE, mut xref: *mut xref_t)","unsafe extern ""C"" fn get_xref_linear_skipped(fp: *mut FILE, xref: *mut SafeXrefT)"
pdfresurrect-master,pdf_get_version,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn pdf_get_version(mut fp: *mut FILE, mut pdf: *mut pdf_t)","#[no_mangle]
pub unsafe extern ""C"" fn pdf_get_version(mut fp: &mut Safe__IO_FILE, mut pdf: &mut SafePdfT)"
pdfresurrect-master,is_valid_xref,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn is_valid_xref(
    mut fp: *mut FILE,
    mut pdf: *mut pdf_t,
    mut xref: *mut xref_t,
) -> core::ffi::c_int","extern ""C"" fn is_valid_xref(mut fp: *mut Safe__IO_FILE, pdf: &mut SafePdfT, xref: &mut SafeXRef) -> i32"
