project,function,outcome,original_signature,llm_signature
tiny-AES-c-master,xtime,ACCEPTED,,
tiny-AES-c-master,InvShiftRows,ACCEPTED,,
tiny-AES-c-master,AES_ECB_decrypt,ACCEPTED,,
tiny-AES-c-master,AddRoundKey,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn AddRoundKey(
    mut round: uint8_t,
    mut state: *mut state_t,
    mut RoundKey: *const uint8_t,
)",pub fn from_ptr(state: *mut state_t) -> Self
tiny-AES-c-master,AddRoundKey,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn AddRoundKey(
    mut round: uint8_t,
    mut state: *mut state_t,
    mut RoundKey: *const uint8_t,
)","pub fn add_round_key(round: u8, state: &mut SafeAES_ctx)"
tiny-AES-c-master,AddRoundKey,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn AddRoundKey(
    mut round: uint8_t,
    mut state: *mut state_t,
    mut RoundKey: *const uint8_t,
)","pub fn AddRoundKey(round: u8, state: &mut [u8; 4], round_key: &[u8]) -> Result<(), ()>"
tiny-AES-c-master,xtime,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn xtime(mut x: uint8_t) -> uint8_t","#[allow(non_snake_case)]
pub extern ""C"" fn xtime(mut x: uint8) -> uint8"
tiny-AES-c-master,xtime,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn xtime(mut x: uint8_t) -> uint8_t",fn xtime(x: u8) -> u8
tiny-AES-c-master,xtime,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn xtime(mut x: uint8_t) -> uint8_t","#[allow(non_snake_case)]
pub extern ""C"" fn xtime(x: uint8_t) -> uint8_t"
tiny-AES-c-master,InvMixColumns,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn InvMixColumns(mut state: *mut state_t)",pub fn from_ptr(state: *mut state_t) -> Self
tiny-AES-c-master,InvShiftRows,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn InvShiftRows(mut state: *mut state_t)",pub fn from_ptr(state: *mut [[u8; 4]; 4]) -> Self
tiny-AES-c-master,InvShiftRows,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn InvShiftRows(mut state: *mut state_t)",pub fn InvShiftRows(mut state: &mut [u8; 16]) -> ()
